chr,start,end,id,gene_id,strand
13,46390041,46390042,Q9H714,ENSG00000102445,-
19,57814912,57814913,Q9H707,ENSG00000178935,-
18,32470881,32470882,Q9H706,ENSG00000141441,-
14,33951073,33951074,Q9H6Z9,ENSG00000129521,-
19,5978139,5978140,Q9H6Z4,ENSG00000031823,-
17,4940007,4940008,Q9H6Y7,ENSG00000108523,+
X,49162563,49162564,Q9H6Y5,ENSG00000269313,+
5,140664903,140664904,Q9H6Y2,ENSG00000120314,+
19,16496393,16496394,Q9H6X5,ENSG00000105072,+
11,67469250,67469251,Q9H6X4,ENSG00000172663,-
2,69013178,69013179,Q9H6X2,ENSG00000169604,+
14,73490932,73490933,Q9H6W3,ENSG00000170468,+
2,20823129,20823130,Q9H6V9,ENSG00000118961,-
11,111871580,111871581,Q9H6U8,ENSG00000086848,-
17,60677850,60677851,Q9H6U6,ENSG00000141376,+
12,47706029,47706030,Q9H6T3,ENSG00000005175,-
16,68236131,68236132,Q9H6T0,ENSG00000103067,-
11,706116,706117,Q9H6S3,ENSG00000177106,+
3,28349049,28349050,Q9H6S1,ENSG00000163512,-
5,113513693,113513694,Q9H6S0,ENSG00000047188,+
2,24047390,24047391,Q9H6R7,ENSG00000163026,-
10,112446955,112446956,Q9H6R6,ENSG00000023041,-
9,33473929,33473930,Q9H6R4,ENSG00000165271,-
12,81078078,81078079,Q9H6R3,ENSG00000111058,+
17,5468981,5468982,Q9H6R0,ENSG00000005100,-
16,740996,740997,Q9H6Q4,ENSG00000103245,-
20,36646195,36646196,Q9H6Q3,ENSG00000101082,-
20,13638931,13638932,Q9H6P5,ENSG00000089123,-
5,16616996,16616997,Q9H6L5,ENSG00000154153,-
17,75109951,75109952,Q9H6L4,ENSG00000125449,+
16,75556251,75556252,Q9H6L2,ENSG00000205084,-
19,7874389,7874390,Q9H6K5,ENSG00000183248,-
19,45584801,45584802,Q9H6K4,ENSG00000125741,-
6,34696858,34696859,Q9H6K1,ENSG00000196821,-
11,46936753,46936754,Q9H6J7,ENSG00000149179,+
8,54457934,54457935,Q9H6I2,ENSG00000164736,+
8,22141906,22141907,Q9H6H4,ENSG00000168476,-
11,60842112,60842113,Q9H6F5,ENSG00000110104,+
19,16661138,16661139,Q9H6F2,ENSG00000072954,+
11,62591522,62591523,Q9H6E5,ENSG00000149016,-
22,41800678,41800679,Q9H6E4,ENSG00000100147,+
2,27495199,27495200,Q9H6D8,ENSG00000115226,-
14,22957153,22957154,Q9H6D7,ENSG00000092036,-
1,27959972,27959973,Q9H6D3,ENSG00000158156,+
19,15233434,15233435,Q9H6B9,ENSG00000105131,-
11,123195247,123195248,Q9H6B4,ENSG00000166250,-
3,21751209,21751210,Q9H6B1,ENSG00000151789,-
11,65615775,65615776,Q9H6A9,ENSG00000197136,+
1,111204408,111204409,Q9H6A0,ENSG00000162777,-
10,58512871,58512872,Q9H694,ENSG00000122870,+
16,87317415,87317416,Q9H693,ENSG00000260456,-
15,100602588,100602589,Q9H672,ENSG00000183475,+
10,103918331,103918332,Q9H668,ENSG00000107960,-
19,35742451,35742452,Q9H665,ENSG00000126246,-
3,94063060,94063061,Q9H649,ENSG00000178694,+
6,30345130,30345131,Q9H633,ENSG00000241370,+
12,18090192,18090193,Q9H628,ENSG00000111404,-
15,64825667,64825668,Q9H611,ENSG00000140451,-
19,43596391,43596392,Q9H609,ENSG00000124444,+
19,17226225,17226226,Q9H607,ENSG00000099330,+
2,224402106,224402107,Q9H5Z6,ENSG00000124019,-
20,38962343,38962344,Q9H5Z1,ENSG00000101452,+
13,85806682,85806683,Q9H5Y7,ENSG00000184564,-
15,64093837,64093838,Q9H5X1,ENSG00000166797,-
X,119565408,119565409,Q9H5V9,ENSG00000018610,-
3,45146421,45146422,Q9H5V8,ENSG00000163814,-
10,123008794,123008795,Q9H5V7,ENSG00000095574,-
4,25312773,25312774,Q9H5U6,ENSG00000168228,+
1,246566260,246566261,Q9H5Q4,ENSG00000162851,-
10,101031132,101031133,Q9H5P4,ENSG00000186862,-
16,28925237,28925238,Q9H5N1,ENSG00000177548,-
4,82900734,82900735,Q9H5L6,ENSG00000168152,+
8,43093497,43093498,Q9H5K3,ENSG00000185900,+
11,93741494,93741495,Q9H5J8,ENSG00000166012,-
4,110198652,110198653,Q9H5J4,ENSG00000170522,-
11,62754183,62754184,Q9H5J0,ENSG00000185670,-
18,11148587,11148588,Q9H5I5,ENSG00000154864,-
10,14878862,14878863,Q9H5I1,ENSG00000152455,+
16,30526565,30526566,Q9H5H4,ENSG00000169957,-
11,111879540,111879541,Q9H5F2,ENSG00000137720,+
20,38724485,38724486,Q9H598,ENSG00000101438,+
X,44844020,44844021,Q9H596,ENSG00000189037,+
1,236604515,236604516,Q9H583,ENSG00000119285,-
1,91022271,91022272,Q9H582,ENSG00000122482,-
1,17755332,17755333,Q9H568,ENSG00000117148,+
9,99221941,99221942,Q9H553,ENSG00000119523,-
6,53665755,53665756,Q9H511,ENSG00000124743,-
20,17693671,17693672,Q9H503,ENSG00000125888,+
20,13784918,13784919,Q9H501,ENSG00000089048,-
20,45934682,45934683,Q9H4Z3,ENSG00000100982,+
20,45972202,45972203,Q9H4Z2,ENSG00000198026,-
10,104268872,104268873,Q9H4Y5,ENSG00000065621,+
13,41457549,41457550,Q9H4X1,ENSG00000102760,+
10,129973052,129973053,Q9H4W6,ENSG00000108001,-
6,28107688,28107689,Q9H4T2,ENSG00000196812,+
13,27792482,27792483,Q9H4S2,ENSG00000169840,+
9,130664593,130664594,Q9H4Q4,ENSG00000130711,+
6,99606832,99606833,Q9H4Q3,ENSG00000112238,+
12,56221932,56221933,Q9H4P4,ENSG00000181852,-
11,64879676,64879677,Q9H4M9,ENSG00000110047,-
19,48868616,48868617,Q9H4M7,ENSG00000105559,-
1,11654374,11654375,Q9H4M3,ENSG00000132879,+
4,94207610,94207611,Q9H4L7,ENSG00000163104,+
7,24980177,24980178,Q9H4L5,ENSG00000070882,-
17,7561918,7561919,Q9H4L4,ENSG00000161956,+
20,62183027,62183028,Q9H4K7,ENSG00000101181,+
22,45413692,45413693,Q9H4K1,ENSG00000128408,+
22,42079699,42079700,Q9H4I9,ENSG00000183172,+
22,42553955,42553956,Q9H4I8,ENSG00000183569,+
22,50185912,50185913,Q9H4I3,ENSG00000170638,+
20,41317730,41317731,Q9H4I2,ENSG00000174306,-
20,1226055,1226056,Q9H4I0,ENSG00000244588,+
20,38926416,38926417,Q9H4H8,ENSG00000101447,+
9,36136732,36136733,Q9H4G4,ENSG00000122694,+
20,23568483,23568484,Q9H4G1,ENSG00000101435,-
20,36091503,36091504,Q9H4G0,ENSG00000088367,+
14,69879415,69879416,Q9H4F8,ENSG00000198732,+
9,127917040,127917041,Q9H4F1,ENSG00000136840,-
6,35297817,35297818,Q9H4E7,ENSG00000023892,+
14,63204442,63204443,Q9H4E5,ENSG00000126785,+
X,103093142,103093143,Q9H4D5,ENSG00000147206,-
3,139935184,139935185,Q9H4D0,ENSG00000158258,+
16,67980498,67980499,Q9H4B8,ENSG00000141096,-
20,59019428,59019429,Q9H4B7,ENSG00000101162,+
14,50668305,50668306,Q9H4B6,ENSG00000151748,-
1,44800376,44800377,Q9H4B4,ENSG00000173846,+
2,189763226,189763227,Q9H4B0,ENSG00000128694,-
16,68000585,68000586,Q9H4A9,ENSG00000167261,-
5,32174318,32174319,Q9H4A6,ENSG00000113384,-
1,150697153,150697154,Q9H4A5,ENSG00000143457,-
1,201982647,201982648,Q9H4A4,ENSG00000176393,+
12,752578,752579,Q9H4A3,ENSG00000060237,+
1,179082069,179082070,Q9H497,ENSG00000186283,+
1,179877798,179877799,Q9H496,ENSG00000169905,-
20,34546853,34546854,Q9H492,ENSG00000101460,+
20,34677091,34677092,Q9H490,ENSG00000101464,-
20,32207879,32207880,Q9H488,ENSG00000101346,+
17,82735614,82735615,Q9H479,ENSG00000167363,+
2,27890386,27890387,Q9H477,ENSG00000171174,-
10,102420835,102420836,Q9H469,ENSG00000107872,+
10,102432573,102432574,Q9H467,ENSG00000107874,-
10,35642295,35642296,Q9H461,ENSG00000177283,-
6,116571488,116571489,Q9H446,ENSG00000111832,+
20,33811347,33811348,Q9H444,ENSG00000101421,+
20,44745864,44745865,Q9H427,ENSG00000124249,+
20,44810545,44810546,Q9H426,ENSG00000101098,-
1,230869588,230869589,Q9H425,ENSG00000119280,-
11,33256671,33256672,Q9H422,ENSG00000110422,+
20,36773817,36773818,Q9H410,ENSG00000149636,-
20,63736663,63736664,Q9H400,ENSG00000203896,+
20,63861497,63861498,Q9H3Z7,ENSG00000183260,+
20,63895125,63895126,Q9H3Z4,ENSG00000101152,+
20,63520764,63520765,Q9H3Y8,ENSG00000125534,+
20,63547748,63547749,Q9H3Y6,ENSG00000125508,-
20,44337042,44337043,Q9H3Y0,ENSG00000101074,+
7,111091005,111091006,Q9H3W5,ENSG00000173114,+
11,60429571,60429572,Q9H3V2,ENSG00000166930,+
6,168441150,168441151,Q9H3U7,ENSG00000112562,+
3,158801925,158801926,Q9H3U5,ENSG00000118855,+
15,90930179,90930180,Q9H3U1,ENSG00000140553,+
19,4581775,4581776,Q9H3T3,ENSG00000167680,-
1,151146630,151146631,Q9H3T2,ENSG00000143434,-
3,47381020,47381021,Q9H3S7,ENSG00000076201,+
1,160031989,160031990,Q9H3S5,ENSG00000143315,-
7,144836052,144836053,Q9H3S4,ENSG00000196511,-
11,113706307,113706308,Q9H3S3,ENSG00000166682,-
1,156150018,156150019,Q9H3S1,ENSG00000196189,+
5,69189582,69189583,Q9H3R5,ENSG00000153044,+
3,124934750,124934751,Q9H3R2,ENSG00000173702,-
4,115113875,115113876,Q9H3R1,ENSG00000138653,-
9,6720862,6720863,Q9H3R0,ENSG00000107077,+
2,241776821,241776822,Q9H3Q3,ENSG00000154252,+
17,73312000,73312001,Q9H3Q1,ENSG00000179604,-
1,226186740,226186741,Q9H3P7,ENSG00000182827,-
4,2008973,2008974,Q9H3P2,ENSG00000185049,-
18,24460636,24460637,Q9H3N8,ENSG00000134489,+
14,51240246,51240247,Q9H3N1,ENSG00000139921,+
X,13320052,13320053,Q9H3M9,ENSG00000123594,-
1,145996578,145996579,Q9H3M7,ENSG00000265972,-
2,10911933,10911934,Q9H3M0,ENSG00000162975,+
2,149587774,149587775,Q9H3L0,ENSG00000168288,-
16,30193665,30193666,Q9H3K6,ENSG00000169627,-
10,84139481,84139482,Q9H3K2,ENSG00000165678,+
12,123233384,123233385,Q9H3J6,ENSG00000130921,+
X,102125678,102125679,Q9H3H9,ENSG00000184905,+
11,119108330,119108331,Q9H3H5,ENSG00000172269,-
11,65919061,65919062,Q9H3H3,ENSG00000175573,-
1,39883505,39883506,Q9H3H1,ENSG00000043514,-
7,29195275,29195276,Q9H3G5,ENSG00000106066,-
12,109477299,109477300,Q9H3F6,ENSG00000110906,-
4,185204236,185204237,Q9H3E2,ENSG00000109762,+
3,189631388,189631389,Q9H3D4,ENSG00000073282,+
17,36544918,36544919,Q9H3C7,ENSG00000278311,+
13,25096135,25096136,Q9H361,ENSG00000151846,+
11,5509956,5509957,Q9H347,ENSG00000175520,-
11,5488684,5488685,Q9H346,ENSG00000181609,+
11,5449322,5449323,Q9H344,ENSG00000187918,+
11,5441513,5441514,Q9H343,ENSG00000167359,-
11,5383811,5383812,Q9H341,ENSG00000184698,+
11,5351507,5351508,Q9H340,ENSG00000176239,+
11,5343523,5343524,Q9H339,ENSG00000167355,-
8,74984504,74984505,Q9H336,ENSG00000121005,+
3,71583977,71583978,Q9H334,ENSG00000114861,-
9,109119946,109119947,Q9H330,ENSG00000106771,-
9,109321058,109321059,Q9H329,ENSG00000095203,-
19,8592195,8592196,Q9H324,ENSG00000142303,-
X,8171266,8171267,Q9H322,ENSG00000177504,-
X,8464829,8464830,Q9H321,ENSG00000205642,+
X,7842261,7842262,Q9H320,ENSG00000182583,+
19,54415430,54415431,Q9H313,ENSG00000167614,+
1,156369210,156369211,Q9H310,ENSG00000132677,+
14,39175253,39175254,Q9H307,ENSG00000100941,+
11,102705768,102705769,Q9H306,ENSG00000137675,-
16,4515108,4515109,Q9H305,ENSG00000089486,-
3,183884887,183884888,Q9H300,ENSG00000175193,-
20,21397525,21397526,Q9H2Z4,ENSG00000125816,-
8,69834977,69834978,Q9H2Y9,ENSG00000137571,-
15,42491104,42491105,Q9H2Y7,ENSG00000103994,-
20,46021689,46021690,Q9H2X9,ENSG00000124140,+
14,94129603,94129604,Q9H2X8,ENSG00000119632,-
7,139777997,139777998,Q9H2X6,ENSG00000064393,-
19,7763216,7763217,Q9H2X3,ENSG00000104938,+
3,184380053,184380054,Q9H2X0,ENSG00000090539,+
15,88467387,88467388,Q9H2W6,ENSG00000259494,-
1,226223617,226223618,Q9H2W2,ENSG00000185155,+
11,60184665,60184666,Q9H2W1,ENSG00000110077,-
16,28974777,28974778,Q9H2V7,ENSG00000169682,+
8,24440929,24440930,Q9H2U9,ENSG00000069206,+
4,105474063,105474064,Q9H2U2,ENSG00000138777,-
3,154324486,154324487,Q9H2U1,ENSG00000174953,-
5,170861931,170861932,Q9H2T7,ENSG00000204764,+
12,56007658,56007659,Q9H2S9,ENSG00000123411,+
X,100584935,100584936,Q9H2S6,ENSG00000000005,+
6,30075768,30075769,Q9H2S5,ENSG00000204618,-
5,114433529,114433530,Q9H2S1,ENSG00000080709,+
19,50837212,50837213,Q9H2R5,ENSG00000174562,-
1,101025791,101025792,Q9H2P9,ENSG00000117543,-
20,50931436,50931437,Q9H2P0,ENSG00000101126,-
1,220272452,220272453,Q9H2M9,ENSG00000118873,-
5,79069766,79069767,Q9H2M3,ENSG00000132840,+
10,44959801,44959802,Q9H2L5,ENSG00000107551,+
7,77798433,77798434,Q9H2L4,ENSG00000135211,-
12,118372906,118372907,Q9H2K8,ENSG00000135090,-
10,91798425,91798426,Q9H2K2,ENSG00000107854,+
13,27450563,27450564,Q9H2K0,ENSG00000122033,-
12,84913628,84913629,Q9H2J7,ENSG00000072041,-
2,100562992,100562993,Q9H2J4,ENSG00000115539,+
10,75782760,75782761,Q9H2I8,ENSG00000148655,+
12,46269118,46269119,Q9H2H9,ENSG00000111371,-
2,200889302,200889303,Q9H2H8,ENSG00000240344,-
1,169367969,169367970,Q9H2G9,ENSG00000117475,+
X,53082366,53082367,Q9H2G4,ENSG00000184205,+
10,103967139,103967140,Q9H2G2,ENSG00000065613,+
18,54959460,54959461,Q9H2F9,ENSG00000166510,-
10,32378797,32378798,Q9H2F5,ENSG00000120616,-
16,30985206,30985207,Q9H2F3,ENSG00000099377,+
5,116574822,116574823,Q9H2E6,ENSG00000092421,-
22,37697047,37697048,Q9H2D6,ENSG00000100106,+
8,103415106,103415107,Q9H2D1,ENSG00000164933,-
11,5138355,5138356,Q9H2C5,ENSG00000171944,-
1,230979093,230979094,Q9H2C2,ENSG00000173409,+
12,113471870,113471871,Q9H2C1,ENSG00000089116,-
16,81314961,81314962,Q9H2C0,ENSG00000261609,+
4,993439,993440,Q9H2B4,ENSG00000145217,-
18,43277489,43277490,Q9H2B2,ENSG00000132872,-
19,33621952,33621953,Q9H2A9,ENSG00000124302,+
17,4739927,4739928,Q9H2A7,ENSG00000161921,-
4,112516179,112516180,Q9H2A3,ENSG00000178403,-
6,134950114,134950115,Q9H2A2,ENSG00000118514,-
1,26280085,26280086,Q9H299,ENSG00000142669,+
8,104339795,104339796,Q9H295,ENSG00000164935,+
14,23372808,23372809,Q9H293,ENSG00000166090,+
11,119067817,119067818,Q9H270,ENSG00000160695,+
20,2840702,2840703,Q9H269,ENSG00000215305,+
15,91022593,91022594,Q9H267,ENSG00000184056,-
9,136373680,136373681,Q9H257,ENSG00000187796,-
11,4697852,4697853,Q9H255,ENSG00000167332,-
19,40466240,40466241,Q9H254,ENSG00000160460,+
17,63523333,63523334,Q9H252,ENSG00000173826,+
10,71396919,71396920,Q9H251,ENSG00000107736,+
1,184387028,184387029,Q9H246,ENSG00000116667,+
3,151384752,151384753,Q9H244,ENSG00000169313,-
17,35795640,35795641,Q9H239,ENSG00000271447,-
X,48508961,48508962,Q9H237,ENSG00000102312,+
19,10517930,10517931,Q9H228,ENSG00000180739,-
HG287_PATCH,14706,14707,Q9H227,ENSG00000291927,+
15,41972556,41972557,Q9H223,ENSG00000103966,-
2,43838838,43838839,Q9H222,ENSG00000138075,-
2,43838970,43838971,Q9H221,ENSG00000143921,+
X,55452126,55452127,Q9H213,ENSG00000187601,+
16,88803788,88803789,Q9H211,ENSG00000167513,+
11,6892499,6892500,Q9H210,ENSG00000166368,-
11,6876624,6876625,Q9H209,ENSG00000170782,+
11,6863056,6863057,Q9H208,ENSG00000170790,+
11,6845682,6845683,Q9H207,ENSG00000166363,+
11,6783019,6783020,Q9H205,ENSG00000279486,+
4,17614640,17614641,Q9H204,ENSG00000118579,+
17,50532734,50532735,Q9H201,ENSG00000049283,+
2,106065687,106065688,Q9H1Z8,ENSG00000119147,+
X,48597491,48597492,Q9H1Z4,ENSG00000101940,+
1,241640368,241640369,Q9H1Y3,ENSG00000054277,-
6,106325759,106325760,Q9H1Y0,ENSG00000057663,-
9,111631333,111631334,Q9H1X3,ENSG00000059769,+
6,43645035,43645036,Q9H1X1,ENSG00000172426,+
1,110150493,110150494,Q9H1V8,ENSG00000197106,+
9,37904126,37904127,Q9H1U9,ENSG00000122696,-
9,120714469,120714470,Q9H1U4,ENSG00000106780,-
20,31819307,31819308,Q9H1R3,ENSG00000101306,+
20,31870663,31870664,Q9H1R2,ENSG00000149599,-
20,2841189,2841190,Q9H1Q7,ENSG00000132635,-
20,58150901,58150902,Q9H1P6,ENSG00000124237,+
20,62238520,62238521,Q9H1P3,ENSG00000130703,+
6,8435560,8435561,Q9H1N7,ENSG00000124786,-
20,157453,157454,Q9H1M4,ENSG00000088782,+
20,227257,227258,Q9H1M3,ENSG00000125903,+
X,107206432,107206433,Q9H1M0,ENSG00000198088,-
15,81000922,81000923,Q9H1K6,ENSG00000140406,+
22,17563449,17563450,Q9H1K4,ENSG00000182902,+
12,108562595,108562596,Q9H1K1,ENSG00000136003,+
3,15099162,15099163,Q9H1K0,ENSG00000131381,-
12,1574656,1574657,Q9H1J7,ENSG00000111186,+
5,138083989,138083990,Q9H1J5,ENSG00000061492,+
13,114281600,114281601,Q9H1J1,ENSG00000169062,+
22,29838303,29838304,Q9H1I8,ENSG00000100325,-
6,17987634,17987635,Q9H1H9,ENSG00000137177,-
20,43727001,43727002,Q9H1H1,ENSG00000124196,-
20,45629738,45629739,Q9H1F0,ENSG00000180305,+
20,8019760,8019761,Q9H1E5,ENSG00000125827,-
1,205750181,205750182,Q9H1E3,ENSG00000069275,-
14,21042315,21042316,Q9H1E1,ENSG00000165799,+
20,18467389,18467390,Q9H1D9,ENSG00000132664,+
7,142885744,142885745,Q9H1D0,ENSG00000165125,-
5,140175187,140175188,Q9H1C7,ENSG00000120306,+
11,68004096,68004097,Q9H1C4,ENSG00000110057,-
12,104064182,104064183,Q9H1C3,ENSG00000120820,-
12,6635958,6635959,Q9H1C0,ENSG00000184574,-
14,77028707,77028708,Q9H1B7,ENSG00000119669,-
17,50346125,50346126,Q9H1B5,ENSG00000015532,+
7,102572538,102572539,Q9H1A7,ENSG00000168255,-
2,111884192,111884193,Q9H1A4,ENSG00000153107,-
16,21599557,21599558,Q9H1A3,ENSG00000197006,+
20,1329138,1329139,Q9H190,ENSG00000125775,-
12,51083595,51083596,Q9H175,ENSG00000110925,-
5,139198367,139198368,Q9H173,ENSG00000120725,-
11,119149051,119149052,Q9H172,ENSG00000172350,+
20,57620575,57620576,Q9H171,ENSG00000124256,-
8,27258419,27258420,Q9H169,ENSG00000015592,-
2,60553657,60553658,Q9H165,ENSG00000119866,-
11,44310138,44310139,Q9H161,ENSG00000052850,-
4,183505057,183505058,Q9H160,ENSG00000168556,+
18,66604089,66604090,Q9H159,ENSG00000071991,-
5,140926298,140926299,Q9H158,ENSG00000248383,+
X,145817828,145817829,Q9H156,ENSG00000185985,+
20,45791953,45791954,Q9H147,ENSG00000101457,+
20,23362181,23362182,Q9H116,ENSG00000125812,+
20,23421518,23421519,Q9H115,ENSG00000125814,-
20,23433775,23433776,Q9H114,ENSG00000125823,+
20,23452875,23452876,Q9H112,ENSG00000125831,-
20,1557704,1557705,Q9H106,ENSG00000125900,-
20,57391395,57391396,Q9H0Z9,ENSG00000132819,+
5,81972022,81972023,Q9H0Y0,ENSG00000152348,+
11,3165351,3165352,Q9H0X9,ENSG00000021762,-
9,137222239,137222240,Q9H0X6,ENSG00000212864,-
16,234520,234521,Q9H0X4,ENSG00000167930,+
11,93741590,93741591,Q9H0W9,ENSG00000182919,+
19,43754961,43754962,Q9H0W8,ENSG00000105771,-
12,71664300,71664301,Q9H0W7,ENSG00000173451,+
19,46413563,46413564,Q9H0W5,ENSG00000169515,-
2,96740063,96740064,Q9H0V9,ENSG00000114988,-
7,112790422,112790423,Q9H0V1,ENSG00000146802,-
6,116279929,116279930,Q9H0U9,ENSG00000189241,-
6,159790466,159790467,Q9H0U6,ENSG00000112110,+
11,66268638,66268639,Q9H0U4,ENSG00000174903,+
X,77895592,77895593,Q9H0U3,ENSG00000102158,-
2,237590779,237590780,Q9H0T7,ENSG00000124839,-
12,12813315,12813316,Q9H0S4,ENSG00000213782,+
12,10212835,10212836,Q9H0R8,ENSG00000139112,+
6,106629577,106629578,Q9H0R6,ENSG00000130348,+
1,89022865,89022866,Q9H0R5,ENSG00000117226,-
18,47150499,47150500,Q9H0R4,ENSG00000167220,-
1,27322144,27322145,Q9H0R3,ENSG00000186501,+
14,57268970,57268971,Q9H0R1,ENSG00000053770,+
11,117877485,117877486,Q9H0Q3,ENSG00000137726,-
2,16665833,16665834,Q9H0Q0,ENSG00000197872,-
7,33040908,33040909,Q9H0P0,ENSG00000122643,-
5,134905119,134905120,Q9H0N5,ENSG00000132570,+
2,129979665,129979666,Q9H0N0,ENSG00000222014,+
19,11925106,11925107,Q9H0M5,ENSG00000196757,+
7,100428678,100428679,Q9H0M4,ENSG00000078487,-
8,86342546,86342547,Q9H0M0,ENSG00000123124,+
10,51699594,51699595,Q9H0L4,ENSG00000177613,-
12,43758792,43758793,Q9H0K6,ENSG00000129317,-
19,45815307,45815308,Q9H0K4,ENSG00000104941,-
11,111602448,111602449,Q9H0K1,ENSG00000170145,+
7,140062950,140062951,Q9H0J9,ENSG00000059378,-
17,76307679,76307680,Q9H0J4,ENSG00000129646,-
4,163473753,163473754,Q9H0I9,ENSG00000151005,-
16,58249935,58249936,Q9H0I3,ENSG00000103021,+
16,67666749,67666750,Q9H0I2,ENSG00000124074,-
12,50025493,50025494,Q9H0H5,ENSG00000161800,-
15,85794924,85794925,Q9H0H3,ENSG00000183655,-
17,61928015,61928016,Q9H0H0,ENSG00000108506,-
17,30116815,30116816,Q9H0G5,ENSG00000126653,+
3,97764520,97764521,Q9H0F7,ENSG00000113966,+
8,144104236,144104237,Q9H0F6,ENSG00000179526,-
9,36401197,36401198,Q9H0F5,ENSG00000137075,-
5,138178668,138178669,Q9H0E9,ENSG00000112983,-
12,95551475,95551476,Q9H0E7,ENSG00000136014,-
2,128027294,128027295,Q9H0E3,ENSG00000136715,-
11,1309631,1309632,Q9H0E2,ENSG00000078902,-
20,21303330,21303331,Q9H0D6,ENSG00000088930,+
19,47573147,47573148,Q9H0D2,ENSG00000118156,-
2,238203694,238203695,Q9H0C8,ENSG00000132323,-
15,83067251,83067252,Q9H0C5,ENSG00000064726,-
12,43836080,43836081,Q9H0C3,ENSG00000139173,+
4,127730399,127730400,Q9H0C2,ENSG00000151475,+
1,42456021,42456022,Q9H0C1,ENSG00000066185,-
16,84819984,84819985,Q9H0B8,ENSG00000103196,+
11,66257293,66257294,Q9H0B6,ENSG00000174996,+
19,18274499,18274500,Q9H0B3,ENSG00000130518,-
21,46184458,46184459,Q9H0A9,ENSG00000160284,-
15,75336019,75336020,Q9H0A8,ENSG00000140365,+
7,156640746,156640747,Q9H0A6,ENSG00000105982,+
11,34105616,34105617,Q9H0A0,ENSG00000135372,+
10,14774896,14774897,Q9H098,ENSG00000065809,-
3,197959990,197959991,Q9H095,ENSG00000114473,-
1,21440127,21440128,Q9H094,ENSG00000142794,+
1,205321744,205321745,Q9H093,ENSG00000163545,-
17,4739832,4739833,Q9H091,ENSG00000141497,+
3,194672190,194672191,Q9H089,ENSG00000041802,-
4,139454120,139454121,Q9H082,ENSG00000172007,+
17,5486395,5486396,Q9H081,ENSG00000167842,+
15,34210095,34210096,Q9H079,ENSG00000134152,-
11,72434533,72434534,Q9H078,ENSG00000162129,-
5,43557694,43557695,Q9H074,ENSG00000172239,-
17,17972861,17972862,Q9H069,ENSG00000171962,+
8,144104460,144104461,Q9H063,ENSG00000179632,+
11,85647966,85647967,Q9H061,ENSG00000171202,+
1,231337103,231337104,Q9H040,ENSG00000010072,+
1,25819928,25819929,Q9H019,ENSG00000117640,+
5,132294393,132294394,Q9H015,ENSG00000197208,+
5,157575774,157575775,Q9H013,ENSG00000135074,-
17,61591218,61591219,Q9H009,ENSG00000253506,-
10,124461822,124461823,Q9H008,ENSG00000107902,+
3,12557056,12557057,Q9H000,ENSG00000075975,+
3,132654445,132654446,Q9GZZ9,ENSG00000081307,+
12,54634894,54634895,Q9GZZ8,ENSG00000135413,-
20,3663398,3663399,Q9GZZ7,ENSG00000125861,-
11,3671383,3671384,Q9GZZ6,ENSG00000129749,-
3,113746248,113746249,Q9GZZ1,ENSG00000121579,-
2,176188667,176188668,Q9GZZ0,ENSG00000128645,+
2,227325249,227325250,Q9GZY8,ENSG00000168958,+
7,74209395,74209396,Q9GZY6,ENSG00000086730,+
7,43729716,43729717,Q9GZY4,ENSG00000106603,-
6,138218490,138218491,Q9GZY1,ENSG00000254440,-
X,102247166,102247167,Q9GZY0,ENSG00000269405,+
18,9334766,9334767,Q9GZX9,ENSG00000128791,+
12,8612866,8612867,Q9GZX7,ENSG00000111732,-
12,68253603,68253604,Q9GZX6,ENSG00000127318,-
19,51986839,51986840,Q9GZX5,ENSG00000256683,-
16,75495444,75495445,Q9GZX3,ENSG00000183196,-
11,60378484,60378485,Q9GZW8,ENSG00000166927,+
12,4379711,4379712,Q9GZV9,ENSG00000118972,-
8,70071251,70071252,Q9GZV8,ENSG00000147596,-
1,156619414,156619415,Q9GZV7,ENSG00000132702,+
3,149703272,149703273,Q9GZV5,ENSG00000018408,-
3,170908636,170908637,Q9GZV4,ENSG00000163577,-
2,107986522,107986523,Q9GZV3,ENSG00000115665,+
10,97572498,97572499,Q9GZV1,ENSG00000165887,+
16,57186039,57186040,Q9GZU8,ENSG00000172775,-
2,218398337,218398338,Q9GZU7,ENSG00000144579,+
X,41447342,41447343,Q9GZU5,ENSG00000188937,+
1,32072938,32072939,Q9GZU3,ENSG00000121775,+
19,56840727,56840728,Q9GZU2,ENSG00000198300,-
19,7522623,7522624,Q9GZU1,ENSG00000090674,+
6,24719997,24719998,Q9GZU0,ENSG00000112308,-
1,231422286,231422287,Q9GZT9,ENSG00000135766,-
2,200889368,200889369,Q9GZT8,ENSG00000196290,+
11,83286389,83286390,Q9GZT6,ENSG00000137500,-
2,218880851,218880852,Q9GZT5,ENSG00000135925,+
17,2303949,2303950,Q9GZT4,ENSG00000167720,+
14,77708078,77708079,Q9GZT3,ENSG00000119705,+
16,75536107,75536108,Q9GZS9,ENSG00000135702,-
15,78299608,78299609,Q9GZS3,ENSG00000140395,-
9,37485947,37485948,Q9GZS1,ENSG00000137054,+
17,74274233,74274234,Q9GZS0,ENSG00000171595,+
14,94081201,94081202,Q9GZR7,ENSG00000089737,-
6,79947552,79947553,Q9GZR5,ENSG00000118402,-
9,133418009,133418010,Q9GZR2,ENSG00000148300,-
6,75601508,75601509,Q9GZR1,ENSG00000112701,+
