PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	[1] hela_DIA9_S1-A9_1_9613.d.PG.Quantity	[2] hela_DIA10_S1-A10_1_9640.d.PG.Quantity	[3] hela_DIA11_S1-A11_1_9667.d.PG.Quantity	[4] hela_DIA12_S1-A1_1_9711.d.PG.Quantity	[5] hela_DIA13_S1-A2_1_9731.d.PG.Quantity	[6] hela_DIA1_S1-A5_1_9193.d.PG.Quantity	[7] hela_DIA2_S1-A6_1_9227.d.PG.Quantity	[8] hela_DIA3_S1-A1_1_9268.d.PG.Quantity	[9] hela_DIA4_S1-A2_1_9308.d.PG.Quantity	[10] hela_DIA5_S1-A3_1_9353.d.PG.Quantity	[11] hela_DIA6_S1-A6_1_9491.d.PG.Quantity	[12] hela_DIA7_S1-A7_1_9531.d.PG.Quantity	[13] hela_DIA8_S1-A8_1_9571.d.PG.Quantity
O43314	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	VIP2_HUMAN	0	314.805603	311.472168	296.3076172	288.565094	289.0881653	220.4775696	249.4428101	295.7623901	260.60849	256.1949463	282.9030151	284.4531555	302.0742493
O43318	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	M3K7_HUMAN	0	72.40422821	75.52427673	63.34491348	48.67759705	76.88548279	58.64336777	74.67851257	79.74311066	66.16629028	69.04024506	58.25431824	66.22639465	59.34165192
O43324	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	MCA3_HUMAN	0	1286.930298	1302.566406	1216.341064	889.6403809	891.8984985	865.9130859	835.776001	1260.754639	1336.763916	1189.936157	1161.057007	1218.953247	1133.506836
O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	RIPK2_HUMAN	0.000474458	NaN	NaN	NaN	69.10062408	67.4469986	35.69849014	47.96388626	65.29095459	28.51181412	41.15418243	NaN	NaN	57.04715729
O43390	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	HNRPR_HUMAN	0	7589.592285	7639.355469	7805.289551	7876.915039	8044.73584	7115.201172	7287.900879	7118.963867	7166.412109	7293.770508	7469.794434	7412.378418	7551.637207
O43395	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3_HUMAN	0	638.159729	570.7216187	570.1361084	593.7584229	547.0539551	526.2249756	533.2192993	582.7173462	575.3381348	609.2388306	615.7213135	597.973877	592.6777344
O43396	TXNL1	Thioredoxin-like protein 1	TXNL1_HUMAN	0	710.4719849	714.6153564	612.661377	709.1231689	878.3670044	753.4597778	750.4255371	687.5366211	688.0061035	677.0854492	692.1525269	717.6652832	751.5740356
O43399	TPD52L2	Tumor protein D54	TPD54_HUMAN	0	4746.499023	4770.07373	4094.936035	4100.467773	4390.658203	3503.08667	3688.74707	3816.888428	4143.161621	4070.177246	4038.768555	4154.284668	3972.462891
O43402	EMC8	ER membrane protein complex subunit 8	EMC8_HUMAN	0	1298.078491	1253.787598	1094.692261	1671.462524	1482.070679	1759.560303	1842.415161	1500.320313	1505.292603	1314.052979	1352.484375	1431.195557	1383.332153
O43414	ERI3	ERI1 exoribonuclease 3	ERI3_HUMAN	0	574.1002197	555.0091553	540.7558594	411.5727539	383.2096863	481.3089905	405.4772034	486.889801	412.0862732	477.8802185	491.8121033	518.1820068	552.1379395
O43426	SYNJ1	Synaptojanin-1	SYNJ1_HUMAN	0	27.02872467	22.81179047	26.11391258	32.05932236	28.41190338	28.41867828	26.29857826	15.74934387	31.90897942	25.10739708	28.89007378	22.04522133	32.89041519
O43427	FIBP	Acidic fibroblast growth factor intracellular-binding protein	FIBP_HUMAN	0	298.3983765	299.3316345	290.6567993	245.1482239	266.8540039	228.1026001	247.7410126	289.7529297	266.1169739	297.6972961	276.2807922	296.7071838	261.6950989
O43432	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	IF4G3_HUMAN	0	552.8060303	516.9229736	546.0430298	521.3619995	550.9450684	492.6199951	505.372406	531.8969727	533.9716797	527.7183838	542.5759277	518.8726196	522.0515747
O43447	PPIH	Peptidyl-prolyl cis-trans isomerase H	PPIH_HUMAN	0	961.8287354	945.9828491	939.3942871	944.1085205	803.680481	773.5463257	833.1036377	930.3890381	868.8547363	811.0338135	882.2631226	928.881897	985.8482666
O43464	HTRA2	"Serine protease HTRA2, mitochondrial"	HTRA2_HUMAN	0	1991.668091	1658.364014	1938.872925	1650.762695	1633.589478	1682.159424	1754.868896	1789.32605	1584.548096	1766.692383	1689.41272	1714.837402	1664.077026
O43474	KLF4	Krueppel-like factor 4	KLF4_HUMAN	0	69.07002258	66.69931793	98.01034546	92.32910156	71.40588379	125.5657349	88.94543457	65.96909332	69.62413025	38.09836578	54.62444305	52.38710403	49.02442551
O43488	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	ARK72_HUMAN	0	685.5028687	734.1563721	696.4265747	606.1878052	605.2305908	522.7119141	528.2844849	669.3052368	632.1546021	634.8578491	662.0775146	672.5359497	690.8494263
O43491	EPB41L2	Band 4.1-like protein 2	E41L2_HUMAN	0	589.7214355	586.5613403	558.2180176	580.9953613	582.5830078	617.4185181	568.5222168	644.3084106	627.6021118	616.5855713	599.9916992	567.1350098	598.9338989
O43493	TGOLN2	Trans-Golgi network integral membrane protein 2	TGON2_HUMAN	0	89.83106995	117.4252625	101.5408478	72.53292084	46.87507629	40.10260391	66.38731384	53.2647438	69.18038177	68.72150421	57.12547684	53.90164566	55.55241394
O43502	RAD51C	DNA repair protein RAD51 homolog 3	RA51C_HUMAN	0	107.900383	106.7852249	93.30846405	75.67137146	92.39903259	81.12751007	80.53530121	89.58912659	93.34152985	86.90895844	137.0713196	88.36161041	83.31578064
O43504	LAMTOR5	Ragulator complex protein LAMTOR5	LTOR5_HUMAN	0	300.26651	327.2776184	306.8956604	227.3873596	219.5741577	229.1590271	189.2019348	260.4814453	286.5673218	220.0900269	275.9611206	270.4288025	277.7540588
O43505	B4GAT1	"Beta-1,4-glucuronyltransferase 1"	B4GA1_HUMAN	0	374.8934937	351.939209	369.6448059	260.0299988	194.475235	200.0898895	172.0311737	303.0710754	219.9657288	252.1003265	242.7313538	234.1146393	224.7263794
O43516	WIPF1	WAS/WASL-interacting protein family member 1	WIPF1_HUMAN	0	548.2645264	458.3411255	481.2862549	429.331604	436.5441589	339.0300598	344.3924561	406.2467957	438.8502197	382.5095215	453.0704041	411.7506714	481.3547974
O43556	SGCE	Epsilon-sarcoglycan	SGCE_HUMAN	0	166.9549561	223.8467407	170.8418884	155.3968353	136.8190155	113.9253998	92.38749695	127.8088837	149.5610657	144.5310364	130.0925293	95.47626495	126.7068024
O43570	CA12	Carbonic anhydrase 12	CAH12_HUMAN	0	44.82490158	27.68729401	26.59447098	50.46043015	59.59275818	59.3322258	78.64483643	29.75154114	29.15017128	35.65617752	46.60327911	35.37929535	26.08707428
O43572	AKAP10	"A-kinase anchor protein 10, mitochondrial"	AKA10_HUMAN	0	97.20097351	82.74584198	97.04689789	131.0574951	156.8625183	104.5808105	94.78115082	90.69609833	93.22225952	96.76963806	102.423912	91.80260468	87.34875488
O43583	DENR	Density-regulated protein	DENR_HUMAN	0	553.578186	606.2324219	562.2653809	571.4335327	779.3817139	705.0136108	712.0415039	548.5819702	446.581543	540.0733032	432.1850586	510.1760864	498.0836792
O43592	XPOT	Exportin-T	XPOT_HUMAN	0	711.8475952	713.99823	712.9185791	789.6966553	769.9088745	981.7167969	881.5654297	802.4834595	758.8696899	696.1069946	677.6717529	666.0512085	705.0056763
O43598	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH1_HUMAN	0	752.6168213	704.9138184	671.8427734	511.8528748	414.1472473	500.521637	524.423645	812.1815186	741.2329102	687.5551147	688.8179932	806.1356201	723.00177
O43615	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	TIM44_HUMAN	0	508.8454895	557.7954102	548.0405884	526.0852051	481.4140625	528.836731	544.5612183	498.402832	461.5191956	494.7538757	443.2330933	485.0624084	504.217865
O43617	TRAPPC3	Trafficking protein particle complex subunit 3	TPPC3_HUMAN	0	1197.122314	1224.918457	1307.558716	1035.852661	1120.916626	992.4240723	915.2591553	913.1967773	1000.387817	938.4896851	878.6806641	948.4893188	1056.664917
O43633	CHMP2A	Charged multivesicular body protein 2a	CHM2A_HUMAN	0	374.6407776	356.5393372	395.423584	308.7774658	252.934494	315.7498169	292.4014893	405.4404297	424.1191101	360.2298584	389.2735901	417.7440186	380.0411987
O43639	NCK2	Cytoplasmic protein NCK2	NCK2_HUMAN	0	NaN	49.55686569	NaN	48.19376755	NaN	43.75234222	NaN	37.8319931	48.15990448	35.51392746	NaN	56.55990982	NaN
O43653	PSCA	Prostate stem cell antigen	PSCA_HUMAN	0	79.26577759	63.01915741	72.69299316	39.02402115	33.13996887	20.84994316	22.89202309	27.41585159	41.58940125	45.52722549	21.24477005	45.6852684	31.27096939
O43657	TSPAN6	Tetraspanin-6	TSN6_HUMAN	0	84.91189575	81.21984863	73.39884186	46.90799332	58.81365204	50.19907379	53.03081894	70.79850006	64.66255188	80.80806732	66.66330719	84.6470871	73.65041351
O43660	PLRG1	Pleiotropic regulator 1	PLRG1_HUMAN	0	213.3040924	211.3198853	232.9702148	224.2089691	240.0641327	226.5227051	218.8479767	195.5940399	208.8819122	188.1851196	196.1893158	210.8248596	222.6940002
O43663	PRC1	Protein regulator of cytokinesis 1	PRC1_HUMAN	0	324.2124329	332.7627258	313.3263855	284.1942749	262.8006897	285.2178955	282.8232117	319.7614746	314.9006958	303.7351074	311.273468	295.6943359	297.5944519
O43665	RGS10	Regulator of G-protein signaling 10	RGS10_HUMAN	0.000474458	107.5977478	121.2279816	120.3652954	81.26528931	109.2059097	91.43849945	83.85204315	85.31246185	97.38285828	67.88975525	100.5849609	58.89922333	66.31368256
O43670	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZN207_HUMAN	0	1379.355225	1441.351563	1448.764404	1187.482666	1139.784058	1113.578735	1204.032715	1295.100952	1426.756714	1621.280762	1475.486938	1434.738037	1258.144531
O43674	NDUFB5	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"	NDUB5_HUMAN	0	172.2620087	169.8419037	185.6626587	126.7635345	94.36898804	106.4693451	133.817749	143.3808899	160.2601318	159.7411041	145.7432709	167.5650482	153.8462524
O43676	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	NDUB3_HUMAN	0	512.5619507	482.3713989	437.9548035	489.2807007	431.3394165	405.2528076	369.6645508	565.979126	479.0477905	559.9633179	461.7904053	510.6899414	489.1112976
O43678	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	NDUA2_HUMAN	0	1201.94458	1242.809937	1363.686279	992.522583	873.3851929	711.3679199	776.6210327	845.5431519	916.612915	931.5968018	953.6556396	1018.522339	934.2689209
O43681	GET3	ATPase GET3	GET3_HUMAN	0	2668.830811	2476.652588	2553.413574	2813.19165	2895.4104	2959.983887	3279.813477	2307.781738	2274.543213	2444.365723	2407.988037	2527.168457	2224.0896
O43684	BUB3	Mitotic checkpoint protein BUB3	BUB3_HUMAN	0	2620.274658	2437.431396	2382.809814	2551.760498	2328.943848	2036.769409	2285.391602	2573.682617	2588.517334	2288.067383	2203.087158	2399.773438	2326.207764
O43688	PLPP2	Phospholipid phosphatase 2	PLPP2_HUMAN	0	276.1394958	274.5853882	294.8748169	243.1929016	191.729599	198.4540405	191.530899	287.2347717	165.1178284	258.954071	279.5857849	285.8999939	260.8487549
O43707	ACTN4	Alpha-actinin-4	ACTN4_HUMAN	0	13424.01855	13466.40234	14048.64844	14189.78418	15035.9248	16360.18457	15124.00586	13331.20117	14005.91113	13538.95117	13502.10352	13675.72461	13886.84863
O43708	GSTZ1	Maleylacetoacetate isomerase	MAAI_HUMAN	0	109.3310013	116.4515305	93.20271301	86.97000885	120.6145935	72.38027954	86.64743042	101.5468597	78.33411407	89.17430115	79.51382446	104.8762512	93.5894165
O43709	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	BUD23_HUMAN	0	247.4714203	215.2614441	229.1196289	199.7331543	237.7866211	214.3556061	179.0185089	235.2602234	223.4450226	222.7671356	229.3634033	244.5855865	221.629776
O43715	TRIAP1	TP53-regulated inhibitor of apoptosis 1	TRIA1_HUMAN	0	105.4822388	108.1932449	101.1096344	149.3992462	163.1533661	133.1421051	118.1317825	78.94863892	86.99436951	77.05308533	99.91175842	109.5434036	104.7190628
O43716	GATC	"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial"	GATC_HUMAN	0	115.3770218	109.0624924	129.0597534	142.5850067	159.4627686	126.6032257	151.0397034	107.5831833	124.7529297	108.7547684	125.606636	149.9196167	113.6184311
O43719	HTATSF1	HIV Tat-specific factor 1	HTSF1_HUMAN	0	717.9578247	679.9359131	592.8634033	641.9130249	788.7645264	672.9109497	607.822876	685.9232788	641.5632324	636.8372803	668.7338867	664.6038208	655.0881348
O43739;Q99418	CYTH3;CYTH2	Cytohesin-3;Cytohesin-2	CYH3_HUMAN;CYH2_HUMAN	0	391.2245178	373.1682129	338.7926025	301.434021	315.8553467	293.4221802	244.6132507	267.8174744	238.0313416	259.6264038	319.7986755	304.9913635	296.6717834
O43741	PRKAB2	5'-AMP-activated protein kinase subunit beta-2	AAKB2_HUMAN	0.00802593	71.46359253	65.86184692	64.5447998	47.2685318	66.25209045	74.13591003	54.22982788	62.09394455	47.49278259	52.46824265	64.31458282	46.06663895	57.73067474
O43747	AP1G1	AP-1 complex subunit gamma-1	AP1G1_HUMAN	0	1169.787109	1235.782715	1174.915649	908.0528564	838.0680542	803.8439941	779.8174438	1162.033203	1092.373779	1024.073608	1064.148682	1073.216797	983.0271606
O43752	STX6	Syntaxin-6	STX6_HUMAN	0.002190581	44.41486359	70.07089233	51.47864151	NaN	62.06313705	43.39355087	NaN	88.83346558	83.87805176	89.36191559	70.99354553	54.63841629	NaN
O43760	SYNGR2	Synaptogyrin-2	SNG2_HUMAN	0	521.0596924	548.6364746	498.3711243	470.6717834	369.7574768	408.4273987	355.9888	522.1217041	617.5933228	477.2800903	430.8586426	493.3530884	452.8977356
O43765	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA_HUMAN	0	645.6074829	658.3001709	642.3272705	671.7237549	541.2415771	565.1405029	664.5471802	572.8248901	589.3383789	539.2327271	614.3929443	566.7479248	628.06604
O43768	ENSA	Alpha-endosulfine	ENSA_HUMAN	0	475.4941711	391.2824097	397.2460938	422.3809814	436.1951599	400.7719727	392.1924744	529.4450684	473.4829407	445.4657593	436.7122498	406.8059387	422.3614502
O43772	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	MCAT_HUMAN	0	673.4308472	626.7952271	630.2078247	641.1184692	557.0335083	384.9764404	475.8623352	553.4852905	520.1860962	477.2717285	557.1916504	534.6567993	545.786438
O43776	NARS1	"Asparagine--tRNA ligase, cytoplasmic"	SYNC_HUMAN	0	2336.643066	2337.694092	2387.190918	2344.999023	2292.05957	2746.032959	2946.149414	2470.471191	2610.458008	2329.627441	2381.216797	2375.076172	2284.963623
O43795	MYO1B	Unconventional myosin-Ib	MYO1B_HUMAN	0	620.8667603	647.8543091	657.505127	620.5670166	669.3920898	600.4421997	572.6955566	571.2787476	577.2943115	541.0155029	561.1517944	597.7557373	604.8752441
O43805	SSNA1	Microtubule nucleation factor SSNA1	SSNA1_HUMAN	0	541.0679321	459.2510376	494.3852844	233.4593964	234.6738129	227.5306396	244.207016	381.0593567	384.0765076	334.9909363	381.6788025	378.1286621	321.791626
O43808	SLC25A17	Peroxisomal membrane protein PMP34	PM34_HUMAN	0	143.0045319	165.8634796	167.2802582	125.4785233	121.7679977	105.5952454	102.1757813	130.6289825	146.1915131	134.7954254	137.0424652	151.0774231	142.1139832
O43809	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	CPSF5_HUMAN	0	1575.554688	1647.846313	1572.675659	1282.696777	1186.705566	1205.222778	1240.365723	1372.556396	1390.718262	1423.101563	1370.04834	1517.267456	1511.227173
O43813	LANCL1	Glutathione S-transferase LANCL1	LANC1_HUMAN	0	3234.216064	3211.141357	3187.419434	2463.605225	2424.991455	2921.292969	2782.776611	2987.590576	3128.050781	3078.234131	2782.091553	2944.809326	2979.393311
O43815	STRN	Striatin	STRN_HUMAN	0	383.9768982	375.4102478	363.4274292	374.5144653	397.9585266	373.6349182	376.3616028	369.2146912	367.6333313	374.3775635	363.4040833	353.7123413	357.2850037
O43818	RRP9	U3 small nucleolar RNA-interacting protein 2	U3IP2_HUMAN	0	784.583252	826.3396606	784.5255127	904.4387207	754.5155029	678.7562866	779.7225952	759.7506104	721.7054443	716.2098389	780.1456909	807.0270386	702.354187
O43819	SCO2	"Protein SCO2 homolog, mitochondrial"	SCO2_HUMAN	0	189.584259	173.2993011	161.0547638	171.3515778	147.4698639	173.036438	145.5799408	181.0277557	183.4921417	149.4062958	163.2140045	150.5003662	139.3044281
O43823	AKAP8	A-kinase anchor protein 8	AKAP8_HUMAN	0	288.7671814	263.6573792	271.3653564	301.4193115	315.5186462	267.0716248	266.8015747	242.3308716	248.0477448	211.8831177	241.4143219	270.114502	252.4646149
O43824	GTPBP6	Putative GTP-binding protein 6	GTPB6_HUMAN	0	140.2331085	116.922493	117.625206	123.0087738	120.0930023	126.3447723	125.4407578	123.5437088	115.0413589	111.8003235	96.43754578	100.6625519	112.1397629
O43837	IDH3B	"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3B_HUMAN	0	619.1848145	644.7980957	676.4630737	560.4219971	511.2940063	606.5148315	613.2907715	745.0302734	648.2644653	603.6942749	606.4821777	627.1914063	662.0187988
O43847	NRDC	Nardilysin	NRDC_HUMAN	0	1772.250244	1638.395996	1651.884277	1450.057739	1294.888306	1436.025269	1342.033936	1436.469116	1570.799316	1652.702026	1633.172852	1616.937744	1657.850586
O43852	CALU	Calumenin	CALU_HUMAN	0	2410.597412	2446.163086	2414.039551	2065.468018	2003.866577	2193.704102	2349.965088	2630.486572	2303.623535	2545.543213	2372.0271	2172.821533	2469.40918
O43854	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3_HUMAN	0	740.1953735	755.9671631	760.5252686	377.2622375	349.5911865	427.7461548	392.199707	813.5009766	789.329895	757.1921387	773.217041	769.5991821	726.0532227
O43861	ATP9B	Probable phospholipid-transporting ATPase IIB	ATP9B_HUMAN	0	158.6134033	140.0721436	189.8467407	203.136261	247.6313171	121.9585266	128.2328186	183.6920624	150.46521	148.8891296	178.0617065	168.1456299	169.7321777
O43865	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	SAHH2_HUMAN	0	724.9124146	742.798584	693.4803467	789.4044189	683.3249512	638.1791382	672.9157715	787.8028564	729.276123	702.8739624	765.4810181	670.6025391	747.9091797
O43896	KIF1C	Kinesin-like protein KIF1C	KIF1C_HUMAN	0	178.860199	143.4574432	139.0483093	120.8114624	70.27453613	98.30671692	96.72681427	136.2975464	136.4578705	156.0493011	145.1405334	124.2304688	133.9290314
O43913	ORC5	Origin recognition complex subunit 5	ORC5_HUMAN	0	312.2476501	315.3375549	302.5248108	276.9134521	270.3547058	267.0184631	272.4055481	280.818512	272.9458618	281.0722656	288.5690918	276.2363281	271.8833923
O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	NDUS5_HUMAN	0	124.3461838	148.8462372	137.0113525	63.28022385	164.2992249	255.807724	139.7317047	123.1593552	124.7538452	94.4895401	91.05422974	113.3189163	84.55182648
O43924	PDE6D	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"	PDE6D_HUMAN	0	266.6341858	270.1481934	285.7514343	379.7614441	257.5488281	161.86763	207.9832764	204.3743744	253.8018341	192.9888763	210.939209	224.0240326	221.5572205
O43929	ORC4	Origin recognition complex subunit 4	ORC4_HUMAN	0	214.1600952	216.9077148	190.293335	168.1815338	199.6321564	226.9881439	221.4825592	247.9925842	209.8334045	182.5938416	209.7531128	205.1251831	198.9530487
O43933	PEX1	Peroxisomal ATPase PEX1	PEX1_HUMAN	0	332.7311707	285.1376648	328.4698181	204.6448822	221.8552246	233.9548187	177.2870636	195.1416321	239.5243835	220.6019897	217.7233429	218.7724762	264.6059265
O60216	RAD21	Double-strand-break repair protein rad21 homolog	RAD21_HUMAN	0	542.8243408	547.0085449	577.7277832	449.0489197	431.4486389	448.9460754	454.7571106	538.0201416	497.7632751	517.2838135	501.9042664	532.3428345	526.8322754
O60220	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	TIM8A_HUMAN	0	621.3486328	722.0078735	676.1859131	696.2849121	680.4318237	681.2684937	810.6872559	635.8280029	717.1906738	730.6555176	547.854126	599.2035522	628.8190308
O60231	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	DHX16_HUMAN	0	588.5460205	634.2879639	586.4967651	544.2647095	483.9665222	535.0924072	576.9747925	600.3967285	601.5944214	588.8800659	583.6814575	615.4796143	597.0213623
O60232	ZNRD2	Protein ZNRD2	ZNRD2_HUMAN	0	321.1836548	347.8289795	299.1523132	386.3247375	310.394104	256.1521606	274.3888855	255.9943848	285.506897	342.8843994	339.2767334	303.7731018	277.1504517
O60244	MED14	Mediator of RNA polymerase II transcription subunit 14	MED14_HUMAN	0	158.4793854	144.3942871	144.4662933	139.3067932	137.7848663	121.1898727	102.8359222	113.835701	108.9082336	110.8114243	124.2238998	124.5111313	131.2567444
O60245	PCDH7	Protocadherin-7	PCDH7_HUMAN	0	158.2722168	133.6841278	155.1904449	123.1805115	140.0361938	153.7656555	135.2497864	163.9650574	131.1184082	143.0297241	150.4863586	136.8177643	122.9660339
O60256	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	KPRB_HUMAN	0	263.0521545	245.9274597	241.579071	253.3013916	274.4751892	286.7589111	268.3188171	265.563324	246.2720032	234.7459106	237.0030212	276.2954102	240.5664673
O60264	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	SMCA5_HUMAN	0	852.786377	855.8120728	828.2383423	867.3520508	737.4898071	760.9274902	725.5357666	866.3793335	869.4539795	856.0704346	809.8696289	838.201416	799.9715576
O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	JIP4_HUMAN	0	516.0334473	525.0753784	519.1728516	434.631897	482.7029114	448.7150879	456.2977905	511.4855042	503.4198303	492.328949	537.2963257	493.9824219	520.6331787
O60287	URB1	Nucleolar pre-ribosomal-associated protein 1	NPA1P_HUMAN	0	204.661377	205.8542786	205.1598663	217.7511139	213.8538513	206.692627	181.0261688	184.5132599	179.480835	190.8208618	196.8078461	193.1161499	220.3394012
O60293	ZFC3H1	Zinc finger C3H1 domain-containing protein	ZC3H1_HUMAN	0	159.1136475	144.3158722	144.4754486	199.8522186	190.9971161	148.4530792	172.5687714	125.448204	144.5280304	140.4675446	140.3688354	133.7960358	119.3578033
O60294	LCMT2	tRNA wybutosine-synthesizing protein 4	TYW4_HUMAN	0	228.0557098	263.9608765	250.3527222	207.983078	172.6394958	253.7089233	205.6912537	245.2630615	231.1302032	224.487854	217.5204163	225.2108917	251.4670563
O60306	AQR	RNA helicase aquarius	AQR_HUMAN	0	538.0462646	516.0108643	510.1925354	435.6037292	423.8458862	435.400116	432.8157959	547.0269775	533.4651489	517.8307495	489.7507935	495.6382141	506.6416931
O60313	OPA1	"Dynamin-like 120 kDa protein, mitochondrial"	OPA1_HUMAN	0	427.7503357	455.2989197	454.7996216	346.2822266	379.828064	374.2080078	364.8338928	414.159729	440.9256287	407.7619934	434.9979248	434.8859863	437.2790833
O60318	MCM3AP	Germinal-center associated nuclear protein	GANP_HUMAN	0	135.9398956	151.3059692	132.7736664	168.3233337	199.9356232	136.4989319	141.0372162	122.3193054	104.2678452	122.1309814	145.8471375	128.54039	127.3154221
O60331	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	PI51C_HUMAN	0	122.9842529	127.3865051	147.6299744	116.5695572	78.97769165	89.08876801	60.6309433	NaN	NaN	97.54634094	124.6492462	NaN	104.4614487
O60333	KIF1B	Kinesin-like protein KIF1B	KIF1B_HUMAN	0	124.3462219	118.6941757	116.3982162	98.48658752	88.36927795	99.09355164	99.7906189	107.7216873	112.2520142	86.526474	104.1919403	104.2686539	101.0469971
O60337	MARCHF6	E3 ubiquitin-protein ligase MARCHF6	MARH6_HUMAN	0.00094518	103.9760361	119.6714172	151.3074646	126.6895065	136.5644531	100.5005417	106.3852844	121.0057068	80.53553772	87.5117569	93.23342133	73.17375946	105.2281799
O60341	KDM1A	Lysine-specific histone demethylase 1A	KDM1A_HUMAN	0	563.9934692	605.362915	586.2294312	450.5363159	444.2261963	510.7155151	455.728302	560.9750366	550.7686768	489.7531433	498.4646912	537.4366455	558.7363892
O60343	TBC1D4	TBC1 domain family member 4	TBCD4_HUMAN	0	338.7632751	342.7214661	337.7677612	302.1890564	328.3670349	303.9598389	298.6116333	340.927002	315.819458	295.7812195	308.4630127	330.5765686	352.1310425
O60361	NME2P1	Putative nucleoside diphosphate kinase	NDK8_HUMAN	0	891.7559814	913.8503418	990.3310547	356.0795288	460.7241211	312.5377197	337.8769226	775.4467773	709.9085693	874.833313	781.7349243	788.4782715	925.3897705
O60427	FADS1	Acyl-CoA (8-3)-desaturase	FADS1_HUMAN	0	1021.867249	1030.467529	992.0942383	809.3460083	783.7753296	597.9284058	634.843811	979.9246216	975.7120361	1087.536255	1051.534668	934.3740234	1046.23291
O60437	PPL	Periplakin	PEPL_HUMAN	0	820.4130249	843.6146851	818.1152344	848.0820923	764.2049561	833.21875	831.3884277	808.032959	803.7418213	726.6271973	834.1529541	786.9858398	800.734314
O60443	GSDME	Gasdermin-E	GSDME_HUMAN	0	568.9508057	499.6182861	507.7687683	432.6291504	412.8656006	431.3044739	397.9300537	551.8545532	514.3465576	581.244812	515.0397339	471.0605774	492.8572998
O60476	MAN1A2	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"	MA1A2_HUMAN	0	171.2881317	152.4403839	124.3115921	152.4844818	168.8228455	137.9730988	139.8629303	128.0298157	128.9470367	110.6644821	126.0003204	128.9939575	124.3633957
O60488	ACSL4	Long-chain-fatty-acid--CoA ligase 4	ACSL4_HUMAN	0	1129.915283	1202.921875	1249.851685	1381.963745	1533.732178	1408.416626	1410.799072	1337.554565	1342.578369	1291.997314	1180.401123	1197.544312	1091.181763
O60493	SNX3	Sorting nexin-3	SNX3_HUMAN	0	1053.156738	1176.541138	945.5258789	816.4593506	726.8363037	693.4460449	719.2216187	1035.745972	961.6679077	1046.008179	934.8327637	876.9824829	1022.721069
O60499	STX10	Syntaxin-10	STX10_HUMAN	0	243.7028198	214.4652405	223.9216614	261.150177	237.1684113	162.4132385	176.3226624	148.1598358	185.6791229	167.4650574	203.5112	198.4877319	207.8785858
O60502	OGA	Protein O-GlcNAcase	OGA_HUMAN	0	616.0671387	581.0055542	534.9248657	387.1924133	405.3388672	437.0461731	417.3197021	613.3495483	541.8305664	582.956665	542.4927368	541.7196045	502.9620667
O60503	ADCY9	Adenylate cyclase type 9	ADCY9_HUMAN	0	209.1670532	200.0246735	199.2793884	185.0627899	164.0042114	212.8980255	141.6304169	179.7977753	175.2258453	182.5992584	218.1486664	175.2483368	175.7748871
O60504	SORBS3	Vinexin	VINEX_HUMAN	0	207.5274048	200.1950989	172.1780243	208.9438477	218.39711	183.9898224	159.4318695	187.365097	186.7610474	181.9437866	176.3695068	181.3274689	172.3187561
